4,0,4,0,19,112
4,1,130,411,561,1
4,2,4,1,23,1
4,3,3092,65,10423,-12256,1,1,s,r,s,f
4,4,2556,569,10543,-12264,1,2,s,l,h,d
4,5,2710,745,10563,-12203,1,2,s,l,h,d
4,6,2777,630,10422,-12316,1,1,s,r,s,f
4,7,3304,-33,10582,-12063,1,1,s,r,s,f
4,8,3239,348,10450,-12190,1,1,s,r,s,f
4,9,2935,717,10553,-12162,1,2,s,r,h,d
4,10,2639,988,10503,-12254,1,2,s,l,h,d
4,11,2520,1325,10553,-12204,1,1,s,l,s,f
4,12,2911,519,10821,-11940,1,2,s,s,h,d
4,13,2909,1238,10212,-12415,1,2,s,l,s,f
4,14,3248,790,10645,-11996,1,2,s,r,h,d
4,15,2734,1425,10571,-12131,1,1,s,s,s,f
4,16,2577,1515,10615,-12116,1,1,s,s,s,f
4,17,2804,1692,10369,-12254,1,1,s,s,s,f
4,18,2496,1938,10433,-12230,1,1,s,l,s,f
4,19,2221,1925,10456,-12265,1,2,s,l,h,d
4,20,2409,1991,10369,-12293,1,2,s,l,h,d
4,21,2383,1874,10306,-12370,1,1,s,l,s,f
4,22,2358,2021,10301,-12355,1,2,s,l,s,f
4,23,2258,2137,10286,-12367,1,2,s,l,h,d
4,24,2271,2027,10308,-12365,1,2,s,l,s,f
4,25,2229,2038,10204,-12456,1,2,s,l,s,f
4,26,2334,2095,10189,-12440,1,1,s,l,s,f
4,27,2288,1906,10330,-12362,1,2,s,l,s,f
4,28,2507,2017,10092,-12498,1,1,s,l,s,f
4,29,2497,1708,10227,-12437,1,1,s,l,s,f
4,30,2462,1745,10250,-12419,1,1,s,l,s,f
4,31,2309,1497,10256,-12476,1,1,s,r,s,f
4,32,2467,1540,10262,-12436,1,1,s,s,s,f
3,0,3,0,19,101
3,1,139,415,558,1
3,2,4,1,23,1
3,3,8794,-11228,-7166,3692,1,2,s,l,h,d
3,4,9135,-10792,-7394,3717,1,1,s,l,s,d
3,5,10139,-10498,-6604,3434,1,1,s,s,s,f
3,6,9141,-10106,-7122,5657,1,1,s,r,s,d
3,7,9596,-9951,-6497,5924,1,1,s,r,s,f
3,8,9485,-9694,-6604,6390,1,4,s,r,s,f
3,9,9220,-9577,-6807,6733,1,1,s,r,s,f
3,10,9339,-9254,-6909,6915,1,1,s,r,s,f
3,11,9938,-8906,-6455,6975,1,1,s,r,s,f
3,12,9927,-8595,-6493,7336,1,1,s,r,s,f
3,13,9999,-8498,-6445,7394,1,1,m,r,s,f
3,14,9793,-8435,-6035,8058,1,1,s,r,s,f
3,15,9989,-8570,-5898,7772,1,1,s,r,s,f
3,16,10380,-8755,-5591,7263,1,1,s,r,s,f
3,17,11037,-8717,-5076,6697,1,1,s,r,s,f
3,18,11046,-8707,-5036,6724,1,1,s,r,s,f
3,19,10687,-9291,-6770,4694,1,1,s,r,s,f
3,20,10207,-9433,-7188,4856,2,4,s,r,s,f
3,21,10293,-9319,-7399,4570,1,4,s,r,s,f
3,22,10604,-9300,-6274,5487,1,1,s,r,s,f
3,23,10796,-8993,-5963,5950,1,1,s,l,s,f
3,24,10759,-8902,-6175,5939,1,1,s,r,s,f
3,25,10459,-8855,-6622,6062,1,1,s,l,s,f
3,26,10530,-9026,-6775,5490,1,1,s,r,s,f
3,27,10482,-9080,-6795,5469,1,1,s,r,s,d
3,28,10386,-9134,-6999,5302,1,1,s,r,s,d
3,29,10468,-9211,-6911,5120,1,1,s,r,s,f
3,30,10635,-9140,-6516,5413,1,1,s,r,s,f
3,31,10889,-9021,-5859,5842,1,1,s,l,s,f
3,32,10982,-8873,-5567,6170,1,1,s,r,s,f
2,0,2,0,20,91
2,1,132,412,171,1
2,2,4,1,23,1
2,3,11448,-5791,7795,-6561,1,1,s,l,s,f
2,4,11415,-5873,7785,-6558,1,1,s,l,s,f
2,5,11416,-5854,7788,-6570,1,1,s,l,s,f
2,6,11432,-5827,7775,-6581,1,1,s,l,s,f
2,7,11410,-5855,7784,-6584,1,1,s,l,s,f
2,8,11397,-5858,7791,-6594,1,1,s,l,s,f
2,9,11375,-5902,7779,-6609,1,1,s,l,s,f
2,10,11372,-5892,7775,-6627,1,1,s,l,s,f
2,11,11373,-5863,7784,-6639,1,1,s,l,s,f
2,12,11362,-5889,7781,-6640,1,1,s,l,s,f
2,13,11353,-5889,7788,-6648,1,1,s,l,s,f
2,14,11351,-5877,7779,-6672,1,1,s,l,s,f
2,15,11320,-5907,7784,-6692,1,1,s,l,s,f
2,16,11326,-5864,7784,-6720,1,1,s,l,s,f
2,17,11341,-5817,7788,-6730,1,1,s,l,s,f
2,18,11362,-5756,7803,-6731,1,1,s,l,s,f
2,19,11361,-5738,7801,-6749,1,1,s,l,s,f
2,20,11327,-5803,7788,-6765,1,1,s,s,s,f
2,21,11334,-5764,7790,-6785,1,1,s,l,s,f
2,22,11341,-5725,7794,-6803,1,1,s,l,s,f
2,23,11354,-5692,7792,-6810,1,1,s,l,s,f
2,24,11353,-5672,7783,-6839,1,1,s,s,s,f
2,25,11352,-5635,7782,-6871,1,1,s,r,s,f
2,26,11361,-5617,7774,-6881,1,1,s,r,s,f
2,27,11358,-5607,7785,-6881,1,1,s,r,s,f
2,28,11364,-5576,7790,-6892,1,1,s,r,s,f
2,29,11338,-5635,7776,-6901,1,1,s,r,s,f
2,30,11337,-5625,7776,-6912,1,1,s,r,s,f
2,31,11353,-5580,7771,-6927,1,1,s,r,s,f
2,32,11356,-5572,7772,-6927,1,1,s,r,s,f
